"Woon Bewust Hypotheek","","","","","1 maart 2021"
"Aflosvormen: annuïtair en lineair","","","","",""
"","NHG","t/m 60% MW","t/m 85% MW","t/m 95% MW",">95% MW"
"1 jaar","0,90%","1,00%","1,10%","",""
"5 jaar","0,90%","1,03%","1,14%","",""
"10 jaar","0,90%","1,03%","1,14%","",""
"15 jaar","1,14%","1,35%","1,48%","",""
"20 jaar","1,20%","1,35%","1,50%","",""
"25 jaar","1,48%","1,66%","1,80%","",""
"30 jaar","1,48%","1,66%","1,80%","",""
