"NHG (voor nieuwe en","bestaande klanten)","",""
"Rentevastperiode","Annuïtair en lineair","Aflossingsvrij",""
"1 - 2 jaar","p
0,81%","0,91%","p"
"3 - 5 jaar","0,83%","0,94%",""
"6 - 10 jaar","0,88%","0,98%",""
"11 - 15 jaar","1,10%","1,21%",""
"16 - 20 jaar","1,15%","1,30%","p"
"21 - 25 jaar","1,40%","1,50%",""
"26 - 30 jaar","1,44%","1,59%",""
