"RENTEOVERZICHT","","","","7","april 2021"
"","","Marktwaarde","","",""
"Rentevasteperiode","NHG","t/m 60%","t/m 80%","t/m 90%","> 90%"
"Variabel","1,40%","1,47%","1,57%","1,67%","1,87%"
"5 jaar","1,00%","1,09%","1,19%","1,21%","1,36%"
"10 jaar","1,09%","1,13%","1,23%","1,28%","1,43%"
"15 jaar","1,34%","1,42%","1,52%","1,57%","1,72%"
"20 jaar","1,44%","1,46%","1,54%","1,61%","1,79%"
"25 jaar","1,52%","1,66%","1,71%","1,81%","2,01%"
"30 jaar","1,53%","1,69%","1,74%","1,91%","2,04%"
